"","cause.x","effect.x","CCMmatchList","AggmatchList","foodmatchList","lowermatchList","cantEmbeddingmatchList","linearitymatchList","SmapMean","causepopmean","effectpopmean","causepopsd","effectpopsd","causehabitat","effecthabitat","smapmin","smapX1st","smapmedian","smapmean","smapX3rd","smapmax","strength"
"168","Var. moo","Cya. spp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Xen. pap","Cya. spp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Xen. sim","Cya. spp",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Xen. spi","Cya. spp",NA,NA,NA,NA,"埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Xen. fla","Cya. spp",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Xen. bou","Cya. spp",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Xen. sp","Cya. spp",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Alt. com","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Aul. dew","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Cya. spp","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Cyp. spp","Cte. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Cun. lon","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Ere. cya","Cte. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Gna. pfe","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Hap. mic","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Int. loo","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Jul. orn","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Lep. att","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Lam. cal","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Lep. cun","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Lim. dar","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Lep. elo","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Lep. ken","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Lob. lab","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Lam. lem","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","Lep. mim","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Lep. pro","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Lam. tan","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Lat. M","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","M. spp","Cte. hor",NA,NA,NA,"10未満","埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","Neo. bus","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Neo. cau","Cte. hor",NA,NA,NA,"10未満","埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Neo. cyl","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Neo. fas","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Neo. fur","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Neo. mus","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","Neo. obs","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Neo. pet","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Neo. pro","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Neo. pul","Cte. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Neo. sav","Cte. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","Neo. sex","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Neo. tet","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Oph. ven","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Par. spp","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","Pse. cur","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Pet. fam","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Pet. fas","Cte. hor",NA,NA,NA,"10未満","埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Per. mic","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Pet. pol","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Pet. hor","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Per. str","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Pet. tre","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Sim. dia","Cte. hor",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Syn. mul","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","Tro. moo","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","Tel. tem","Cte. hor",NA,"present",NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Tel. vit","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Var. moo","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Xen. pap","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Xen. sim","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Xen. spi","Cte. hor",NA,NA,NA,"10未満","埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Xen. fla","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Xen. bou","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","Xen. sp","Cte. hor",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Alt. com","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Aul. dew","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Cya. spp","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Cte. hor","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Cun. lon","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Ere. cya","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Gna. pfe","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Hap. mic","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Int. loo","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Jul. orn","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Lep. att","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Lam. cal","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Lep. cun","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","Lim. dar","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Lep. elo","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Lep. ken","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Lob. lab","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Lam. lem","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Lep. mim","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Lep. pro","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Lam. tan","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Lat. M","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","M. spp","Cyp. spp",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Neo. bus","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Neo. cau","Cyp. spp",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Neo. cyl","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Neo. fas","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Neo. fur","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","Neo. mus","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Neo. obs","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Neo. pet","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","Neo. pro","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Neo. pul","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Neo. sav","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","Neo. sex","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Neo. tet","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","Oph. ven","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Par. spp","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Pse. cur","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","Pet. fam","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Pet. fas","Cyp. spp",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Per. mic","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Pet. pol","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Pet. hor","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Per. str","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Pet. tre","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Sim. dia","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Syn. mul","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Tro. moo","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","Tel. tem","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Tel. vit","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Var. moo","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Xen. pap","Cyp. spp",NA,NA,NA,NA,NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","Xen. sim","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","Xen. spi","Cyp. spp",NA,NA,NA,NA,"埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","Xen. fla","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Xen. bou","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","Xen. sp","Cyp. spp",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Alt. com","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","Aul. dew","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Cya. spp","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","Cte. hor","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","Cyp. spp","Cun. lon",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Ere. cya","Cun. lon",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Gna. pfe","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","Hap. mic","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","Int. loo","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Jul. orn","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Lep. att","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","Lam. cal","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Lep. cun","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Lim. dar","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","Lep. elo","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","Lep. ken","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","Lob. lab","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Lam. lem","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Lep. mim","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","Lep. pro","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Lam. tan","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Lat. M","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","M. spp","Cun. lon",NA,NA,NA,"10未満","埋め込み不可",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","Neo. bus","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Neo. cau","Cun. lon",NA,NA,NA,"10未満","埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Neo. cyl","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Neo. fas","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","Neo. fur","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","Neo. mus","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","Neo. obs","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","Neo. pet","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","Neo. pro","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Neo. pul","Cun. lon",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","Neo. sav","Cun. lon",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","Neo. sex","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","Neo. tet","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","Oph. ven","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","Par. spp","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Pse. cur","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","Pet. fam","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","Pet. fas","Cun. lon",NA,NA,NA,"10未満","埋め込み不可","線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","Per. mic","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","Pet. pol","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","Pet. hor","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Per. str","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","Pet. tre","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","Sim. dia","Cun. lon",NA,NA,NA,"10未満",NA,"線形性",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","Syn. mul","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Tro. moo","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","Tel. tem","Cun. lon",NA,NA,NA,"10未満",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
